team_points,team_bags,other_team_points,other_team_bags,game_win
367,7,347,7,1
347,7,367,7,0
291,1,290,1,1
290,0,291,1,0
323,3,334,3,1
334,4,323,3,0
369,9,364,9,1
364,4,369,9,0
325,5,384,5,1
384,4,325,5,0
368,8,417,8,1
417,7,368,8,0
313,3,439,3,1
439,9,313,3,0
368,8,360,8,1
360,0,368,8,0
310,0,394,0,1
394,4,310,0,0
366,6,414,6,1
414,4,366,6,0
300,0,456,0,1
456,6,300,0,0
331,1,401,1,1
401,1,331,1,0
372,2,436,2,1
436,6,372,2,0
426,6,458,6,1
458,8,426,6,0
350,0,410,0,1
410,0,350,0,0
394,4,442,4,1
442,2,394,4,0
435,5,468,5,1
468,8,435,5,0
479,9,391,9,1
391,1,479,9,0
412,2,425,2,1
425,5,412,2,0
455,5,449,5,1
449,9,455,5,0
495,5,394,5,1
394,4,495,5,0
0,0,0,0,1
0,0,0,0,0
44,4,32,4,1
32,2,44,4,0
66,6,77,6,1
77,7,66,6,0
12,2,98,2,1
98,8,12,2,0
44,4,33,4,1
33,3,44,4,0
76,6,77,6,1
77,7,76,6,0
107,7,22,7,1
22,2,107,7,0
50,0,46,0,1
46,6,50,0,0
83,3,89,3,1
89,9,83,3,0
117,7,22,7,1
22,2,117,7,0
50,0,56,0,1
56,6,50,0,0
103,3,79,3,1
79,9,103,3,0
133,3,16,3,1
16,6,133,3,0
168,8,48,8,1
48,8,168,8,0
102,2,-19,2,1
-19,1,102,2,0
136,6,14,6,1
14,4,136,6,0
169,9,57,9,1
57,7,169,9,0
104,4,98,4,1
98,8,104,4,0
139,9,30,9,1
30,0,139,9,0
74,4,71,4,1
71,1,74,4,0
117,7,95,7,1
95,5,117,7,0
139,9,149,9,1
149,9,139,9,0
93,3,71,3,1
71,1,93,3,0
136,6,95,6,1
95,5,136,6,0
189,9,127,9,1
127,7,189,9,0
131,1,61,1,1
61,1,131,1,0
163,3,96,3,1
96,6,163,3,0
209,9,117,9,1
117,7,209,9,0
153,3,149,3,1
149,9,153,3,0
175,5,94,5,1
94,4,175,5,0
100,0,136,0,1
136,6,100,0,0
131,1,81,1,1
81,1,131,1,0
186,6,102,6,1
102,2,186,6,0
229,9,126,9,1
126,6,229,9,0
161,1,61,1,1
61,1,161,1,0
193,3,96,3,1
96,6,193,3,0
226,6,139,6,1
139,9,226,6,0
171,1,61,1,1
61,1,171,1,0
202,2,97,2,1
97,7,202,2,0
245,5,21,5,1
21,1,245,5,0
268,8,65,8,1
65,5,268,8,0
214,4,95,4,1
95,5,214,4,0
258,8,118,8,1
118,8,258,8,0
191,1,52,1,1
52,2,191,1,0
243,3,85,3,1
85,5,243,3,0
275,5,129,5,1
129,9,275,5,0
316,6,55,6,1
55,5,316,6,0
357,7,-10,7,1
-10,0,357,7,0
291,1,32,1,1
32,2,291,1,0
345,5,54,5,1
54,4,345,5,0
379,9,87,9,1
87,7,379,9,0
323,3,119,3,1
119,9,323,3,0
377,7,41,7,1
41,1,377,7,0
311,1,74,1,1
74,4,311,1,0
356,6,96,6,1
96,6,356,6,0
378,8,41,8,1
41,1,378,8,0
322,2,64,2,1
64,4,322,2,0
355,5,98,5,1
98,8,355,5,0
387,7,33,7,1
33,3,387,7,0
419,9,77,9,1
77,7,419,9,0
351,1,21,1,1
21,1,351,1,0
398,8,41,8,1
41,1,398,8,0
351,1,64,1,1
64,4,351,1,0
387,7,95,7,1
95,5,387,7,0
407,7,51,7,1
51,1,407,7,0
438,8,96,8,1
96,6,438,8,0
383,3,118,3,1
118,8,383,3,0
417,7,60,7,1
60,0,417,7,0
439,9,114,9,1
114,4,439,9,0
372,2,148,2,1
148,8,372,2,0
418,8,178,8,1
178,8,418,8,0
350,0,122,0,1
122,2,350,0,0
372,2,176,2,1
176,6,372,2,0
418,8,206,8,1
206,6,418,8,0
342,2,258,2,1
258,8,342,2,0
386,6,181,6,1
181,1,386,6,0
419,9,224,9,1
224,4,419,9,0
350,0,269,0,1
269,9,350,0,0
382,2,213,2,1
213,3,382,2,0
415,5,256,5,1
256,6,415,5,0
449,9,298,9,1
298,8,449,9,0
393,3,230,3,1
230,0,393,3,0
438,8,252,8,1
252,2,438,8,0
459,9,298,9,1
298,8,459,9,0
391,1,242,1,1
242,2,391,1,0
436,6,264,6,1
264,4,436,6,0
370,0,297,0,1
297,7,370,0,0
424,4,319,4,1
319,9,424,4,0
458,8,252,8,1
252,2,458,8,0
413,3,273,3,1
273,3,413,3,0
448,8,305,8,1
305,5,448,8,0
391,1,329,1,1
329,9,391,1,0
453,3,252,3,1
252,2,453,3,0
0,0,0,0,0
0,0,0,0,1
44,4,32,4,0
32,2,44,4,1
75,5,68,5,0
68,8,75,5,1
117,7,2,7,0
2,2,117,7,1
159,9,36,9,0
36,6,159,9,1
91,1,-20,1,0
-20,0,91,1,1
121,1,26,1,0
26,6,121,1,1
143,3,-20,3,0
-20,0,143,3,1
167,7,32,7,0
32,2,167,7,1
111,1,73,1,0
73,3,111,1,1
154,4,115,4,0
115,5,154,4,1
195,5,50,5,0
50,0,195,5,1
239,9,82,9,0
82,2,239,9,1
175,5,113,5,0
113,3,175,5,1
120,0,144,0,0
144,4,120,0,1
165,5,175,5,0
175,5,165,5,1
196,6,229,6,0
229,9,196,6,1
229,9,172,9,0
172,2,229,9,1
164,4,204,4,0
204,4,164,4,1
197,7,238,7,0
238,8,197,7,1
133,3,278,3,0
278,8,133,3,1
168,8,319,8,0
319,9,168,8,1
111,1,243,1,0
243,3,111,1,1
157,7,273,7,0
273,3,157,7,1
178,8,337,8,0
337,7,178,8,1
218,8,273,8,0
273,3,218,8,1
249,9,327,9,0
327,7,249,9,1
212,2,349,2,0
349,9,212,2,1
257,7,280,7,0
280,0,257,7,1
193,3,311,3,0
311,1,193,3,1
239,9,341,9,0
341,1,239,9,1
193,3,363,3,0
363,3,193,3,1
226,6,406,6,0
406,6,226,6,1
259,9,449,9,0
449,9,259,9,1
204,4,380,4,0
380,0,204,4,1
227,7,424,7,0
424,4,227,7,1
171,1,447,1,0
447,7,171,1,1
205,5,380,5,0
380,0,205,5,1
228,8,433,8,0
433,3,228,8,1
151,1,477,1,0
477,7,151,1,1
0,0,0,0,1
0,0,0,0,0
45,5,31,5,1
31,1,45,5,0
89,9,54,9,1
54,4,89,9,0
33,3,77,3,1
77,7,33,3,0
66,6,11,6,1
11,1,66,6,0
10,0,34,0,1
34,4,10,0,0
30,0,99,0,1
99,9,30,0,0
63,3,42,3,1
42,2,63,3,0
95,5,77,5,1
77,7,95,5,0
148,8,0,8,1
0,0,148,8,0
102,2,22,2,1
22,2,102,2,0
145,5,46,5,1
